"","agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","sample_start_time_datum_cd_reported","sample_end_time_datum_cd_reported","startDateTime","sample_end_dateTime","tz_cd"
"30","USGS","01491000",1986-04-18,"09:50",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,1.08,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-04-18 14:50:00,NA,"UTC"
"31","USGS","01491000",1986-04-30,"10:00",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,0.909,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-04-30 15:00:00,NA,"UTC"
"32","USGS","01491000",1986-05-09,"10:30",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,0.867,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-05-09 15:30:00,NA,"UTC"
"33","USGS","01491000",1986-05-19,"10:00",NA,NA,"T","USGS-WRD","WS","442400300",NA,NA,NA,"9","9","9",NA,"00618",NA,0.976,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-05-19 15:00:00,NA,"UTC"
"34","USGS","01491000",1986-05-27,"11:40",NA,NA,"T","USGS-WRD","WS","442400300",NA,NA,NA,"9","9","9",NA,"00618",NA,1.08,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-05-27 16:40:00,NA,"UTC"
"35","USGS","01491000",1986-06-05,"08:55",NA,NA,"T","USGS-WRD","WS","442400300",NA,NA,NA,"9","9","9",NA,"00618",NA,0.992,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-06-05 13:55:00,NA,"UTC"
"36","USGS","01491000",1986-06-16,"11:30",NA,NA,"T","USGS-WRD","WS","442400300",NA,NA,NA,"4","9","1",NA,"00618",NA,0.87,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-06-16 16:30:00,NA,"UTC"
"37","USGS","01491000",1986-06-30,"08:30",NA,NA,"T","USGS-WRD","WS","442400300",NA,NA,NA,"9","9","9",NA,"00618",NA,0.993,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-06-30 13:30:00,NA,"UTC"
"38","USGS","01491000",1986-07-11,"13:45",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"7","9","9",NA,"00618",NA,0.927,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-07-11 18:45:00,NA,"UTC"
"39","USGS","01491000",1986-07-17,"13:15",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"4","9","9",NA,"00618",NA,0.97,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-07-17 18:15:00,NA,"UTC"
"40","USGS","01491000",1986-07-28,"09:00",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,0.936,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-07-28 14:00:00,NA,"UTC"
"41","USGS","01491000",1986-08-19,"12:00",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"4","9","Z",NA,"00618",NA,0.664,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-08-19 17:00:00,NA,"UTC"
"42","USGS","01491000",1986-08-26,"12:00",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,1.01,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-08-26 17:00:00,NA,"UTC"
"43","USGS","01491000",1986-09-08,"10:00",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,1,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-09-08 15:00:00,NA,"UTC"
"44","USGS","01491000",1986-09-26,"10:00",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,0.967,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-09-26 15:00:00,NA,"UTC"
"45","USGS","01491000",1986-11-05,"09:50",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"8","9","9",NA,"00618",NA,0.539,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-11-05 14:50:00,NA,"UTC"
"46","USGS","01491000",1986-11-12,"09:30",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,0.706,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-11-12 14:30:00,NA,"UTC"
